date_time,ds_stage_ft,ds_q_cfs,us_stage_ft,us_q_cfs
2024-07-17 13:00,0.7695,1.578432217,0.5105,1.529489631
2024-07-17 13:15,0.7735,1.617865118,0.5065,1.48337251
2024-07-17 13:30,0.7655,1.539533598,0.5085,1.506336703
2024-07-17 13:45,0.7695,1.578432217,0.5055,1.471961126
2024-07-17 14:00,0.7705,1.588240302,0.5055,1.471961126
2024-07-17 14:15,0.7635,1.520284231,0.5005,1.41561032
2024-07-17 14:30,0.7655,1.539533598,0.5025,1.438009521
2024-07-17 14:45,0.7825,1.708549406,0.5155,1.588198974
2024-07-17 15:00,0.7855,1.739382604,0.5235,1.684597762
2024-07-17 15:15,0.7905,1.791445873,0.5255,1.70917249
2024-07-17 15:30,0.7945,1.833705062,0.5345,1.82211766
2024-07-17 15:45,0.7785,1.667909581,0.5185,1.623992669
2024-07-17 16:00,0.7725,1.607956732,0.5165,1.600082816
2024-07-17 16:15,0.7515,1.407576662,0.4945,1.349539426
2024-07-17 16:30,0.7635,1.520284231,0.4985,1.393399041
2024-07-17 16:45,0.7585,1.472742639,0.4965,1.371375479
2024-07-17 17:00,0.7595,1.482184547,0.5065,1.48337251
2024-07-17 17:15,0.7735,1.617865118,0.5055,1.471961126
2024-07-17 17:30,0.7765,1.647791208,0.5205,1.648092245
2024-07-17 17:45,0.7835,1.718793455,0.5215,1.660213239
2024-07-17 18:00,0.7805,1.688162259,0.5195,1.63601873
2024-07-17 18:15,0.7835,1.718793455,0.5215,1.660213239
2024-07-17 18:30,0.7725,1.607956732,0.5195,1.63601873
2024-07-17 18:45,0.7855,1.739382604,0.5255,1.70917249
2024-07-17 19:00,0.7845,1.729071181,0.5215,1.660213239
2024-07-17 19:15,0.7905,1.791445873,0.5395,1.886537266
2024-07-17 19:30,0.7955,1.844354547,0.5325,1.796684657
2024-07-17 19:45,0.7885,1.770519255,0.5375,1.860625806
2024-07-17 20:00,0.7975,1.86575528,0.5425,1.925763963
2024-07-17 20:15,0.8035,1.93077298,0.5415,1.912640433
2024-07-17 20:30,0.8045,1.941728394,0.5525,2.059642713
2024-07-17 20:45,0.8045,1.941728394,0.5525,2.059642713
2024-07-17 21:00,0.8015,1.908964342,0.5525,2.059642713
2024-07-17 21:15,0.8075,1.974799243,0.5395,1.886537266
2024-07-17 21:30,0.8045,1.941728394,0.5555,2.1007456
2024-07-17 21:45,0.8115,2.01937184,0.5555,2.1007456
2024-07-17 22:00,0.8105,2.008177405,0.5545,2.086996382
2024-07-17 22:15,0.8135,2.041863393,0.5575,2.128388916
2024-07-17 22:30,0.8195,2.110160887,0.5595,2.156225549
2024-07-17 22:45,0.8245,2.168020523,0.5645,2.226664036
2024-07-17 23:00,0.8175,2.087257767,0.5615,2.184255673
2024-07-17 23:15,0.8175,2.087257767,0.5615,2.184255673
2024-07-17 23:30,0.8245,2.168020523,0.5645,2.226664036
2024-07-17 23:45,0.8175,2.087257767,0.5615,2.184255673
2024-07-18,0.8275,2.203149734,0.5675,2.269508728
2024-07-18 00:15,0.8225,2.144773404,0.5625,2.198343349
2024-07-18 00:30,0.8255,2.179695771,0.5655,2.240897091
2024-07-18 00:45,0.8265,2.191405501,0.5665,2.255178647
2024-07-18 01:00,0.8175,2.087257767,0.5715,2.327314714
2024-07-18 01:15,0.8185,2.09869215,0.5695,2.298314546
2024-07-18 01:30,0.8265,2.191405501,0.5735,2.356509402
2024-07-18 01:45,0.8255,2.179695771,0.5615,2.184255673
2024-07-18 02:00,0.8325,2.26238906,0.5745,2.371179744
2024-07-18 02:15,0.8385,2.33461862,0.5705,2.312790326
2024-07-18 02:30,0.8275,2.203149734,0.5655,2.240897091
2024-07-18 02:45,0.8225,2.144773404,0.5685,2.283887354
2024-07-18 03:00,0.8285,2.214928486,0.5735,2.356509402
2024-07-18 03:15,0.8205,2.121663996,0.5615,2.184255673
2024-07-18 03:30,0.8315,2.250472045,0.5735,2.356509402
2024-07-18 03:45,0.8315,2.250472045,0.5655,2.240897091
2024-07-18 04:00,0.8325,2.26238906,0.5745,2.371179744
2024-07-18 04:15,0.8255,2.179695771,0.5675,2.269508728
2024-07-18 04:30,0.8355,2.298347845,0.5745,2.371179744
2024-07-18 04:45,0.8265,2.191405501,0.5645,2.226664036
2024-07-18 05:00,0.8295,2.226741776,0.5715,2.327314714
2024-07-18 05:15,0.8325,2.26238906,0.5745,2.371179744
2024-07-18 05:30,0.8315,2.250472045,0.5775,2.415483011
2024-07-18 05:45,0.8415,2.371201873,0.5805,2.460225078
2024-07-18 06:00,0.8425,2.383465814,0.5845,2.520564711
2024-07-18 06:15,0.8395,2.346778294,0.5895,2.597089653
2024-07-18 06:30,0.8285,2.214928486,0.5665,2.255178647
2024-07-18 06:45,0.8205,2.121663996,0.5645,2.226664036
2024-07-18 07:00,0.7875,1.760106621,0.5345,1.82211766
2024-07-18 07:15,0.7615,1.501167936,0.5075,1.494831027
2024-07-18 07:30,0.7425,1.326167792,0.4815,1.212161069
2024-07-18 07:45,0.7515,1.407576662,0.4865,1.264066109
2024-07-18 08:00,0.7435,1.335081656,0.4825,1.222449013
2024-07-18 08:15,0.7515,1.407576662,0.4955,1.360434027
2024-07-18 08:30,0.7455,1.353007928,0.4925,1.327890673
2024-07-18 08:45,0.7545,1.435306426,0.4975,1.382363808
2024-07-18 09:00,0.7605,1.491659639,0.5045,1.46059685
2024-07-18 09:15,0.7585,1.472742639,0.4975,1.382363808
2024-07-18 09:30,0.7635,1.520284231,0.4915,1.317136469
2024-07-18 09:45,0.7635,1.520284231,0.4985,1.393399041
2024-07-18 10:00,0.7725,1.607956732,0.5075,1.494831027
2024-07-18 10:15,0.7645,1.52989227,0.4995,1.404481203
2024-07-18 10:30,0.7615,1.501167936,0.5005,1.41561032
2024-07-18 10:45,0.7725,1.607956732,0.5125,1.552831494
2024-07-18 11:00,0.7785,1.667909581,0.5095,1.517889563
2024-07-18 11:15,0.7795,1.678019122,0.5195,1.63601873
2024-07-18 11:30,0.7715,1.5980818,0.5115,1.541136933
2024-07-18 11:45,0.7755,1.637782336,0.5155,1.588198974
2024-07-18 12:00,0.7765,1.647791208,0.5165,1.600082816
2024-07-18 12:15,0.7685,1.568657525,0.5045,1.46059685
2024-07-18 12:30,0.7835,1.718793455,0.5195,1.63601873
2024-07-18 12:45,0.7575,1.463333894,0.5225,1.672381737
2024-07-18 13:00,0.8155,2.064491986,0.5485,2.00551383
2024-07-18 13:15,0.7855,1.739382604,0.5335,1.809377265
2024-07-18 13:30,0.7715,1.5980818,0.5055,1.471961126
2024-07-18 13:45,0.7725,1.607956732,0.5075,1.494831027
2024-07-18 14:00,0.7755,1.637782336,0.5145,1.576362489
2024-07-18 14:15,0.7955,1.844354547,0.5265,1.721531241
2024-07-18 14:30,0.8035,1.93077298,0.5385,1.873557584
2024-07-18 14:45,0.7945,1.833705062,0.5345,1.82211766
2024-07-18 15:00,0.7975,1.86575528,0.5305,1.771442711
2024-07-18 15:15,0.7925,1.812507756,0.5325,1.796684657
2024-07-18 15:30,0.7805,1.688162259,0.5165,1.600082816
2024-07-18 15:45,0.7725,1.607956732,0.5055,1.471961126
2024-07-18 16:00,0.7565,1.453958291,0.4955,1.360434027
2024-07-18 16:15,0.7495,1.389255258,0.4925,1.327890673
2024-07-18 16:30,0.7575,1.463333894,0.4955,1.360434027
2024-07-18 16:45,0.7555,1.444615809,0.4895,1.295768272
2024-07-18 17:00,0.7645,1.52989227,0.4985,1.393399041
2024-07-18 17:15,0.7745,1.627806979,0.5045,1.46059685
2024-07-18 17:30,0.7805,1.688162259,0.5105,1.529489631
2024-07-18 17:45,0.7815,1.698339014,0.5195,1.63601873
2024-07-18 18:00,0.7845,1.729071181,0.5265,1.721531241
